province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Combined_Key
Voronezh Oblast,Russia,16256,153,15125,978.0,696.5559558619368,0.9411909448818898,"Voronezh Oblast, Russia"
Wakayama,Japan,236,5,227,4.0,25.515361653222453,2.1186440677966103,"Wakayama, Japan"
Wales,United Kingdom,20445,1603,0,18842.0,651.4050850697762,7.840547811200782,"Wales, United Kingdom"
Washington,US,82199,2037,0,80162.0,1135.25615389778,1.7117586347804399,"Washington, US"
West Bengal,India,218772,4242,190021,24509.0,219.63008816556012,1.9390049914979977,"West Bengal, India"
West Virginia,US,13889,311,0,13578.0,599.2404678796695,2.1671369102822378,"West Virginia, US"
Western Australia,Australia,662,9,650,3.0,25.165361514483383,1.3595166163141994,"Western Australia, Australia"
Wisconsin,US,97279,1238,0,96041.0,1172.4140453754853,1.0048877934930296,"Wisconsin, US"
Wyoming,US,4781,49,0,4731.0,801.660984838427,1.2499979839011501,"Wyoming, US"
Xinjiang,China,902,3,899,0.0,3.626859670285485,0.3325942350332594,"Xinjiang, China"
Yamagata,Japan,78,1,76,1.0,7.237864050642778,1.2820512820512822,"Yamagata, Japan"
Yamaguchi,Japan,195,1,171,23.0,14.355800037693175,0.5128205128205128,"Yamaguchi, Japan"
Yamalo-Nenets Autonomous Okrug,Russia,14398,98,13259,1041.0,2673.48996466418,0.6806500902903181,"Yamalo-Nenets Autonomous Okrug, Russia"
Yamanashi,Japan,181,6,168,7.0,22.3193366841111,3.314917127071824,"Yamanashi, Japan"
